기준일자,현금(십억),유형자산(십억)
20171231,153.444295931,2245.308556665
20181231,98.388437105,2165.689913481
20191231,199.410280331,2014.589018624
20201231,158.849601868,1939.744908385
20211231,384.577796934,2048.216396232
20221231,345.003532508,2077.791326496
20231231,247.537132464,2439.023830306
20241231,177.836350865,2602.805049337
